Data;Godzina;RCE
20231201;1;475,81
20231201;2;473,63
20231201;3;468,98
20231201;4;468,64
20231201;5;463,78
20231201;6;474,35
20231201;7;598,71
20231201;8;721,58
20231201;9;761,98
20231201;10;751,04
20231201;11;726,00
20231201;12;732,99
20231201;13;727,66
20231201;14;738,26
20231201;15;751,07
20231201;16;777,74
20231201;17;794,70
20231201;18;795,09
20231201;19;780,48
20231201;20;761,75
20231201;21;660,81
20231201;22;572,94
20231201;23;566,66
20231201;24;492,76
20231202;1;477,42
20231202;2;446,07
20231202;3;435,72
20231202;4;426,11
20231202;5;424,58
20231202;6;433,30
20231202;7;457,36
20231202;8;512,19
20231202;9;577,50
20231202;10;613,19
20231202;11;616,14
20231202;12;609,06
20231202;13;593,96
20231202;14;577,53
20231202;15;576,92
20231202;16;586,41
20231202;17;615,24
20231202;18;652,07
20231202;19;638,45
20231202;20;612,44
20231202;21;569,49
20231202;22;506,10
20231202;23;458,84
20231202;24;421,22
20231203;1;396,16
20231203;2;372,86
20231203;3;361,54
20231203;4;363,16
20231203;5;356,95
20231203;6;364,37
20231203;7;368,98
20231203;8;372,71
20231203;9;396,54
20231203;10;419,76
20231203;11;432,20
20231203;12;434,86
20231203;13;431,84
20231203;14;431,51
20231203;15;447,61
20231203;16;465,37
20231203;17;509,25
20231203;18;545,02
20231203;19;546,81
20231203;20;522,28
20231203;21;468,09
20231203;22;425,32
20231203;23;405,41
20231203;24;378,29
20231204;1;389,60
20231204;2;379,89
20231204;3;376,30
20231204;4;370,99
20231204;5;375,80
20231204;6;400,16
20231204;7;459,73
20231204;8;568,70
20231204;9;649,88
20231204;10;651,27
20231204;11;633,97
20231204;12;630,71
20231204;13;621,61
20231204;14;644,44
20231204;15;668,18
20231204;16;669,56
20231204;17;669,46
20231204;18;638,99
20231204;19;615,13
20231204;20;600,11
20231204;21;541,63
20231204;22;444,95
20231204;23;403,16
20231204;24;385,35
20231205;1;386,04
20231205;2;376,18
20231205;3;370,66
20231205;4;367,64
20231205;5;370,51
20231205;6;394,32
20231205;7;457,23
20231205;8;555,90
20231205;9;606,51
20231205;10;600,03
20231205;11;616,92
20231205;12;629,61
20231205;13;630,72
20231205;14;625,09
20231205;15;631,81
20231205;16;623,37
20231205;17;632,84
20231205;18;629,66
20231205;19;619,03
20231205;20;610,25
20231205;21;563,53
20231205;22;503,13
20231205;23;466,74
20231205;24;430,35
20231206;1;424,92
20231206;2;410,16
20231206;3;405,46
20231206;4;400,62
20231206;5;403,63
20231206;6;419,14
20231206;7;515,35
20231206;8;568,73
20231206;9;623,59
20231206;10;631,99
20231206;11;640,84
20231206;12;630,44
20231206;13;643,24
20231206;14;640,60
20231206;15;637,79
20231206;16;643,54
20231206;17;658,44
20231206;18;633,10
20231206;19;612,89
20231206;20;605,28
20231206;21;589,41
20231206;22;529,80
20231206;23;507,36
20231206;24;455,42
20231207;1;423,28
20231207;2;422,04
20231207;3;409,23
20231207;4;398,83
20231207;5;390,03
20231207;6;424,39
20231207;7;513,38
20231207;8;604,08
20231207;9;658,26
20231207;10;652,21
20231207;11;630,51
20231207;12;630,25
20231207;13;629,36
20231207;14;623,95
20231207;15;623,85
20231207;16;631,36
20231207;17;653,33
20231207;18;649,38
20231207;19;634,59
20231207;20;614,71
20231207;21;554,96
20231207;22;469,79
20231207;23;442,23
20231207;24;370,20
20231208;1;398,66
20231208;2;404,29
20231208;3;400,85
20231208;4;398,76
20231208;5;392,41
20231208;6;401,80
20231208;7;507,95
20231208;8;594,55
20231208;9;609,13
20231208;10;593,87
20231208;11;580,25
20231208;12;585,86
20231208;13;589,05
20231208;14;600,12
20231208;15;592,42
20231208;16;587,52
20231208;17;597,95
20231208;18;585,67
20231208;19;550,26
20231208;20;547,53
20231208;21;500,02
20231208;22;447,10
20231208;23;432,94
20231208;24;392,80
20231209;1;404,87
20231209;2;377,34
20231209;3;371,07
20231209;4;366,71
20231209;5;367,62
20231209;6;377,11
20231209;7;382,54
20231209;8;417,45
20231209;9;472,52
20231209;10;525,59
20231209;11;529,14
20231209;12;539,11
20231209;13;532,76
20231209;14;540,55
20231209;15;534,82
20231209;16;534,80
20231209;17;536,48
20231209;18;525,19
20231209;19;514,86
20231209;20;496,43
20231209;21;474,53
20231209;22;386,68
20231209;23;350,65
20231209;24;258,11
20231210;1;276,44
20231210;2;254,77
20231210;3;222,17
20231210;4;260,29
20231210;5;266,29
20231210;6;274,51
20231210;7;294,23
20231210;8;306,76
20231210;9;352,99
20231210;10;366,59
20231210;11;380,80
20231210;12;393,69
20231210;13;390,35
20231210;14;398,80
20231210;15;404,99
20231210;16;422,29
20231210;17;457,19
20231210;18;450,72
20231210;19;455,17
20231210;20;453,67
20231210;21;429,03
20231210;22;388,63
20231210;23;354,13
20231210;24;350,62
20231211;1;218,14
20231211;2;200,08
20231211;3;199,23
20231211;4;198,54
20231211;5;212,07
20231211;6;305,00
20231211;7;381,76
20231211;8;451,50
20231211;9;491,02
