Data;Godzina;RCE
20230512;15;291,26
20230512;16;309,75
20230512;17;375,73
20230512;18;433,77
20230512;19;506,86
20230512;20;565,10
20230512;21;572,25
20230512;22;552,99
20230512;23;500,81
20230512;24;450,61
20230513;1;487,38
20230513;2;469,00
20230513;3;458,99
20230513;4;458,67
20230513;5;459,42
20230513;6;440,34
20230513;7;460,55
20230513;8;456,96
20230513;9;441,19
20230513;10;414,66
20230513;11;330,25
20230513;12;259,07
20230513;13;248,18
20230513;14;248,24
20230513;15;261,26
20230513;16;343,47
20230513;17;422,89
20230513;18;514,99
20230513;19;543,45
20230513;20;546,76
20230513;21;559,38
20230513;22;546,82
20230513;23;524,59
20230513;24;493,63
20230514;1;471,58
20230514;2;462,28
20230514;3;464,50
20230514;4;466,53
20230514;5;446,82
20230514;6;435,63
20230514;7;431,69
20230514;8;398,36
20230514;9;351,21
20230514;10;246,56
20230514;11;114,01
20230514;12;67,31
20230514;13;64,87
20230514;14;64,49
20230514;15;64,58
20230514;16;126,65
20230514;17;262,82
20230514;18;415,27
20230514;19;494,25
20230514;20;540,36
20230514;21;570,69
20230514;22;552,47
20230514;23;535,94
20230514;24;496,32
20230515;1;492,00
20230515;2;477,48
20230515;3;477,95
20230515;4;472,61
20230515;5;484,02
20230515;6;507,98
20230515;7;597,94
20230515;8;695,17
20230515;9;668,54
20230515;10;579,78
20230515;11;576,68
20230515;12;565,73
20230515;13;554,00
20230515;14;552,87
20230515;15;553,87
20230515;16;574,12
20230515;17;577,28
20230515;18;577,43
20230515;19;588,54
20230515;20;656,50
20230515;21;737,46
20230515;22;641,76
20230515;23;571,43
20230515;24;516,01
20230516;1;544,82
20230516;2;527,48
20230516;3;520,43
20230516;4;516,91
20230516;5;520,30
20230516;6;525,23
20230516;7;551,51
20230516;8;554,33
20230516;9;551,37
20230516;10;521,58
20230516;11;421,16
20230516;12;442,45
20230516;13;436,01
20230516;14;472,64
20230516;15;529,98
20230516;16;558,67
20230516;17;545,63
20230516;18;570,23
20230516;19;642,80
20230516;20;737,52
20230516;21;750,50
20230516;22;716,40
20230516;23;567,26
20230516;24;517,03
20230517;1;517,11
20230517;2;501,34
20230517;3;500,24
20230517;4;500,82
20230517;5;500,70
20230517;6;509,55
20230517;7;541,86
20230517;8;564,97
20230517;9;553,62
20230517;10;555,39
20230517;11;546,50
20230517;12;554,71
20230517;13;553,68
20230517;14;553,61
20230517;15;550,71
20230517;16;553,58
20230517;17;550,00
20230517;18;542,80
20230517;19;540,92
20230517;20;626,90
20230517;21;713,12
20230517;22;671,63
20230517;23;543,52
20230517;24;541,59
20230518;1;528,59
20230518;2;524,00
20230518;3;523,04
20230518;4;524,55
20230518;5;529,07
20230518;6;537,80
20230518;7;573,46
20230518;8;613,17
20230518;9;580,55
20230518;10;572,16
20230518;11;567,53
20230518;12;556,85
20230518;13;569,22
20230518;14;569,22
20230518;15;560,35
20230518;16;558,78
20230518;17;569,74
20230518;18;576,04
20230518;19;587,55
20230518;20;637,60
20230518;21;692,38
20230518;22;595,80
20230518;23;569,24
20230518;24;521,57
20230519;1;547,93
20230519;2;553,46
20230519;3;553,82
20230519;4;555,68
20230519;5;556,71
20230519;6;556,37
20230519;7;628,58
20230519;8;696,19
20230519;9;682,62
20230519;10;624,15
20230519;11;574,75
20230519;12;620,86
20230519;13;612,40
20230519;14;600,31
20230519;15;587,54
20230519;16;574,49
20230519;17;570,99
20230519;18;542,49
20230519;19;581,59
20230519;20;670,06
20230519;21;739,63
20230519;22;644,41
20230519;23;557,87
20230519;24;550,00
20230520;1;531,76
20230520;2;502,36
20230520;3;500,87
20230520;4;499,96
20230520;5;493,24
20230520;6;483,51
20230520;7;505,38
20230520;8;529,50
20230520;9;542,07
20230520;10;534,37
20230520;11;479,01
20230520;12;456,54
20230520;13;427,47
20230520;14;419,48
20230520;15;419,35
20230520;16;420,16
20230520;17;467,86
20230520;18;509,34
20230520;19;540,04
20230520;20;558,78
20230520;21;563,49
20230520;22;557,81
20230520;23;533,42
20230520;24;498,64
20230521;1;449,83
20230521;2;421,06
20230521;3;419,70
20230521;4;419,58
20230521;5;417,63
20230521;6;404,94
20230521;7;390,33
20230521;8;372,40
20230521;9;311,23
20230521;10;165,75
20230521;11;86,80
20230521;12;59,10
20230521;13;46,83
20230521;14;56,23
20230521;15;60,42
20230521;16;99,96
20230521;17;163,34
20230521;18;387,70
20230521;19;483,85
20230521;20;494,64
20230521;21;500,54
20230521;22;479,80
20230521;23;450,69
20230521;24;436,59
20230522;1;453,22
20230522;2;453,10
20230522;3;461,69
20230522;4;488,30
20230522;5;487,54
20230522;6;495,34
20230522;7;566,05
20230522;8;577,49
20230522;9;571,47
20230522;10;529,01
20230522;11;442,23
20230522;12;445,65
20230522;13;424,94
20230522;14;425,32
20230522;15;489,97
20230522;16;503,07
20230522;17;549,89
20230522;18;567,95
20230522;19;572,65
20230522;20;671,71
20230522;21;702,85
20230522;22;650,23
20230522;23;569,45
20230522;24;535,89
20230523;1;511,43
20230523;2;509,25
20230523;3;515,30
20230523;4;514,97
20230523;5;496,40
20230523;6;496,13
20230523;7;557,33
20230523;8;559,49
20230523;9;555,54
20230523;10;539,57
20230523;11;498,95
20230523;12;499,05
20230523;13;499,89
20230523;14;502,35
20230523;15;531,46
20230523;16;558,02
20230523;17;562,44
20230523;18;587,51
20230523;19;673,10
20230523;20;726,07
20230523;21;745,57
20230523;22;683,02
20230523;23;569,08
20230523;24;539,92
20230524;1;526,83
20230524;2;520,22
20230524;3;521,77
20230524;4;521,50
20230524;5;515,73
20230524;6;520,08
20230524;7;570,11
20230524;8;655,85
20230524;9;665,69
20230524;10;635,59
20230524;11;585,08
20230524;12;584,77
20230524;13;582,37
20230524;14;576,49
20230524;15;561,30
20230524;16;570,68
20230524;17;581,28
20230524;18;666,44
20230524;19;741,43
20230524;20;770,02
20230524;21;803,73
20230524;22;770,19
20230524;23;695,26
20230524;24;542,32
20230525;1;510,82
20230525;2;506,75
20230525;3;502,17
20230525;4;502,57
20230525;5;500,01
20230525;6;499,91
20230525;7;591,75
20230525;8;679,04
20230525;9;698,34
20230525;10;565,97
20230525;11;542,35
20230525;12;541,36
20230525;13;539,18
20230525;14;539,07
20230525;15;538,97
20230525;16;543,00
20230525;17;577,04
20230525;18;608,73
20230525;19;729,84
20230525;20;749,58
20230525;21;765,34
20230525;22;735,27
20230525;23;577,64
20230525;24;522,96
20230526;1;481,72
20230526;2;482,42
20230526;3;488,08
20230526;4;487,94
20230526;5;487,71
20230526;6;482,24
