Data;Godzina;Krajowe zapotrzebowanie na moc;Suma zdolnoœci wytwórczych jednostek wytwórczych w KSE;Suma zdolnoœci wytwórczych JGWa;Suma zdolnoœci wytwórczych JGFWa;Suma zdolnoœci wytwórczych JGMa;Suma zdolnoœci wytwórczych JGPVa;Sumaryczna generacja JG aktywnych: JGWa, JGFWa, JGMa i JGPVa;Sumaryczna generacja JGWa;Sumaryczna generacja JGFWa;Sumaryczna generacja JGMa;Sumaryczna generacja JGPVa;Sumaryczna generacja jednostek wytwórczych nieuczestnicz¹cych aktywnie w Rynku Bilansuj¹cym;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych;Sumaryczna moc ³adowania JGMa;Krajowe saldo wymiany miêdzysystemowej równoleg³ej;Krajowe saldo wymiany miêdzysystemowej nierównoleg³ej;Rezerwa mocy ponad zapotrzebowanie;Rezerwa mocy poni¿ej zapotrzebowania;Suma mocy z wykorzystanych Ofert Redukcji Obci¹¿enia JGOa
2023-08-01;1;14970;25602;18997;-;0;-;8586;8586;-;0;-;6605;3736;0;351,00;-701;760;4838;-845;0
2023-08-01;2;14482;25555;18997;-;0;-;8682;8682;-;0;-;6558;3743;0;839,00;-770;830;4791;-862;0
2023-08-01;3;14129;25609;18997;-;0;-;8538;8538;-;0;-;6612;3782;0;849,00;-812;870;5188;-415;0
2023-08-01;4;14106;25572;18997;-;0;-;8546;8546;-;0;-;6575;3756;0;1023,00;-864;922;5000;-596;0
2023-08-01;5;14033;25672;18997;-;0;-;8550;8550;-;0;-;6675;3893;0;1120,00;-993;1008;5035;-558;0
2023-08-01;6;14497;25485;18997;-;0;-;8948;8948;-;0;-;6488;3658;48;994,00;-793;851;4588;-1065;0
2023-08-01;7;17039;26697;19397;-;0;-;9407;9407;-;0;-;7300;3920;558;293,00;-45;660;4584;-1489;0
2023-08-01;8;18529;27563;19346;-;15;-;9824;9809;-;15;-;8202;3765;1514;0,00;65;451;4325;-1782;0
2023-08-01;9;19534;28191;19334;-;380;-;10327;10307;-;20;-;8477;3233;2320;0,00;149;504;3451;-2622;0
2023-08-01;10;19843;28835;19336;-;495;-;10539;10519;-;20;-;9004;3112;2986;0,00;-291;574;3301;-2609;0
