Data;Godzina;Krajowe zapotrzebowanie na moc;Suma zdolnoœci wytwórczych jednostek wytwórczych w KSE;Suma zdolnoœci wytwórczych JGWa;Suma zdolnoœci wytwórczych JGFWa;Suma zdolnoœci wytwórczych JGMa;Suma zdolnoœci wytwórczych JGPVa;Sumaryczna generacja JG aktywnych: JGWa, JGFWa, JGMa i JGPVa;Sumaryczna generacja JGWa;Sumaryczna generacja JGFWa;Sumaryczna generacja JGMa;Sumaryczna generacja JGPVa;Sumaryczna generacja jednostek wytwórczych nieuczestnicz¹cych aktywnie w Rynku Bilansuj¹cym;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych;Sumaryczna moc ³adowania JGMa;Krajowe saldo wymiany miêdzysystemowej równoleg³ej;Krajowe saldo wymiany miêdzysystemowej nierównoleg³ej;Rezerwa mocy ponad zapotrzebowanie;Rezerwa mocy poni¿ej zapotrzebowania;Suma mocy z wykorzystanych Ofert Redukcji Obci¹¿enia JGOa
2023-10-01;1;13806;25058;18014;-;439;-;8260;8260;-;0;-;6605;3592;0;0,00;-2064;954;3743;-1815;0
2023-10-01;2;13284;24639;18014;-;0;-;7620;7620;-;0;-;6625;3543;0;38,00;-1844;954;4465;-1093;0
2023-10-01;3;12895;24496;18014;-;0;-;7278;7278;-;0;-;6482;3404;0;54,00;-1744;954;4796;-762;0
2023-10-01;4;12766;24171;18014;-;0;-;7522;7522;-;0;-;6157;3121;0;54,00;-1875;954;4469;-1089;0
2023-10-01;5;12808;23773;18014;-;0;-;7719;7719;-;0;-;5759;2731;0;38,00;-1628;953;4291;-1267;0
2023-10-01;6;12814;23545;18014;-;0;-;7774;7774;-;0;-;5531;2484;0;14,00;-1477;954;4233;-1325;0
2023-10-01;7;13058;24166;18714;-;0;-;7904;7904;-;0;-;5452;2382;9;0,00;-1266;954;4835;-1423;0
2023-10-01;8;14163;24733;18705;-;117;-;8630;8630;-;0;-;5911;2352;472;0,00;-695;238;4044;-2214;0
2023-10-01;9;15189;25750;18679;-;34;-;8458;8458;-;0;-;7037;2453;1485;11,00;-427;208;4371;-1887;0
2023-10-01;10;15895;26644;18674;-;0;-;8053;8053;-;0;-;7970;2088;2811;54,00;-453;354;4670;-1583;0
2023-10-01;11;16259;27542;18788;-;0;-;7909;7909;-;0;-;8754;1838;3877;440,00;-188;192;4921;-1360;0
2023-10-01;12;16554;28310;18717;-;0;-;7695;7695;-;0;-;9593;1838;4772;725,00;-235;238;5108;-1168;0
2023-10-01;13;16309;29187;18654;-;0;-;7127;7127;-;0;-;10533;2002;5546;785,00;13;3;6184;-59;0
2023-10-01;14;16108;29149;18644;-;0;-;6904;6904;-;0;-;10505;2174;5385;784,00;433;-430;6052;-101;0
2023-10-01;15;15869;28500;18644;-;0;-;6969;6969;-;0;-;9856;2198;4709;748,00;446;-448;5634;-464;0
2023-10-01;16;16062;26760;18644;-;0;-;8009;8009;-;0;-;8116;1678;3490;165,00;281;-277;4573;-1623;0
2023-10-01;17;16130;25134;18644;-;34;-;8811;8811;-;0;-;6456;1343;2088;0,00;775;88;4012;-2231;0
2023-10-01;18;16091;23766;18619;-;236;-;9634;9634;-;0;-;4911;987;806;0,00;1743;-124;3494;-2724;0
2023-10-01;19;17400;23784;18629;-;1150;-;12163;11483;-;681;-;4005;807;20;0,00;1374;-145;2146;-4480;0
2023-10-01;20;17734;24242;18614;-;1310;-;12599;11817;-;783;-;4318;1052;0;0,00;1045;-216;1925;-4776;0
2023-10-01;21;17350;24542;18762;-;1349;-;12331;11675;-;656;-;4431;1165;0;0,00;629;-43;2052;-4649;0
2023-10-01;22;16250;24759;18910;-;1349;-;11350;11143;-;208;-;4500;1334;0;0,00;503;-66;2634;-4077;0
2023-10-01;23;15464;24697;19069;-;1349;-;10813;10813;-;0;-;4279;1152;0;48,00;145;133;2805;-3921;0
