Data;Godzina;RCE
20230401;1;586,83
20230401;2;575,27
20230401;3;583,55
20230401;4;587,37
20230401;5;583,71
20230401;6;558,86
20230401;7;571,21
20230401;8;583,25
20230401;9;587,21
20230401;10;583,93
20230401;11;549,14
20230401;12;532,21
20230401;13;528,78
20230401;14;542,01
20230401;15;551,19
20230401;16;570,41
20230401;17;580,87
20230401;18;557,46
20230401;19;578,10
20230401;20;586,85
20230401;21;587,46
20230401;22;577,81
20230401;23;571,33
20230401;24;503,03
20230402;1;453,45
20230402;2;412,01
20230402;3;406,00
20230402;4;380,42
20230402;5;375,93
20230402;6;374,80
20230402;7;360,83
20230402;8;348,05
20230402;9;349,62
20230402;10;413,68
20230402;11;402,91
20230402;12;341,22
20230402;13;334,85
20230402;14;304,17
20230402;15;241,64
20230402;16;200,92
20230402;17;201,86
20230402;18;279,95
20230402;19;433,02
20230402;20;477,58
20230402;21;490,58
20230402;22;477,68
20230402;23;502,02
20230402;24;473,54
20230403;1;469,15
20230403;2;465,62
20230403;3;472,56
20230403;4;477,22
20230403;5;500,00
20230403;6;569,01
20230403;7;616,96
20230403;8;628,47
20230403;9;652,56
20230403;10;578,42
20230403;11;570,93
20230403;12;547,65
20230403;13;522,65
20230403;14;550,43
20230403;15;571,58
20230403;16;586,78
20230403;17;584,62
20230403;18;582,95
20230403;19;615,99
20230403;20;719,72
20230403;21;711,66
20230403;22;647,36
20230403;23;636,76
20230403;24;583,75
20230404;1;599,77
20230404;2;606,87
20230404;3;605,54
20230404;4;608,13
20230404;5;591,99
20230404;6;602,42
20230404;7;732,37
20230404;8;805,41
20230404;9;784,64
20230404;10;670,69
20230404;11;598,38
20230404;12;575,06
20230404;13;569,87
20230404;14;566,92
20230404;15;565,18
20230404;16;567,30
20230404;17;574,89
20230404;18;620,08
20230404;19;755,51
20230404;20;858,25
20230404;21;857,51
20230404;22;774,83
20230404;23;729,86
20230404;24;655,53
20230405;1;630,03
20230405;2;628,15
20230405;3;627,27
