Data;Godzina;Krajowe zapotrzebowanie na moc;Suma zdolnoœci wytwórczych jednostek wytwórczych w KSE;Suma zdolnoœci wytwórczych JGWa;Suma zdolnoœci wytwórczych JGFWa;Suma zdolnoœci wytwórczych JGMa;Suma zdolnoœci wytwórczych JGPVa;Sumaryczna generacja JG aktywnych: JGWa, JGFWa, JGMa i JGPVa;Sumaryczna generacja JGWa;Sumaryczna generacja JGFWa;Sumaryczna generacja JGMa;Sumaryczna generacja JGPVa;Sumaryczna generacja jednostek wytwórczych nieuczestnicz¹cych aktywnie w Rynku Bilansuj¹cym;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych;Sumaryczna moc ³adowania JGMa;Krajowe saldo wymiany miêdzysystemowej równoleg³ej;Krajowe saldo wymiany miêdzysystemowej nierównoleg³ej;Rezerwa mocy ponad zapotrzebowanie;Rezerwa mocy poni¿ej zapotrzebowania;Suma mocy z wykorzystanych Ofert Redukcji Obci¹¿enia JGOa
2023-01-01;1;13272;25534;15739;-;0;-;5326;5326;-;0;-;9795;5702;0;0,00;-1035;-73;3316;0;0
2023-01-01;2;12567;24636;15739;-;0;-;5326;5326;-;0;-;8897;4770;0;0,00;-1717;65;2580;-461;0
2023-01-01;3;12376;23512;15739;-;687;-;6716;6716;-;0;-;7086;3156;0;259,00;-1721;67;700;-2341;0
2023-01-01;4;11877;23647;15694;-;405;-;6249;6249;-;0;-;7548;3640;0;345,00;-2070;299;1412;-1584;0
2023-01-01;5;11770;23427;15694;-;92;-;5940;5940;-;0;-;7641;3734;0;345,00;-1696;141;1828;-1168;0
2023-01-01;6;11753;24105;15694;-;43;-;5470;5470;-;0;-;8368;4461;0;345,00;-2067;297;2357;-639;0
2023-01-01;7;11878;24286;15923;-;0;-;5225;5225;-;0;-;8363;4464;0;210,00;-1792;228;2798;-562;0
2023-01-01;8;11735;24233;15956;-;0;-;5206;5206;-;0;-;8277;4359;13;210,00;-1480;-67;2904;-506;0
2023-01-01;9;11783;24487;16017;-;0;-;5235;5235;-;0;-;8470;3808;753;242,00;-1336;-233;3057;-353;0
2023-01-01;10;12379;25659;16091;-;0;-;5259;5259;-;0;-;9568;4041;1647;683,00;-1113;-458;3189;-271;0
2023-01-01;11;13191;26508;16153;-;0;-;5358;5358;-;0;-;10355;4145;2302;773,00;-1143;-632;2886;-574;0
2023-01-01;12;13801;27380;16163;-;0;-;5276;5276;-;0;-;11217;4655;2668;807,00;-876;-898;3101;-354;0
2023-01-01;13;14183;28136;16163;-;0;-;5276;5276;-;0;-;11973;5628;2431;974,00;-780;-798;3504;0;0
2023-01-01;14;14731;28175;16158;-;0;-;5386;5386;-;0;-;12017;6197;1887;1174,00;-606;-971;2796;-654;0
2023-01-01;15;14804;27559;16158;-;0;-;5383;5383;-;0;-;11401;6484;968;1111,00;90;-869;2969;-481;0
2023-01-01;16;15051;27256;16508;-;0;-;5326;5326;-;0;-;10748;6543;115;724,00;691;-775;3501;-299;0
2023-01-01;17;16348;27264;16513;-;76;-;5791;5715;-;76;-;10675;6530;0;0,00;-508;424;2935;-870;0
2023-01-01;18;16656;27275;16518;-;406;-;6091;5685;-;406;-;10351;6093;0;0,00;-519;868;3071;-739;0
2023-01-01;19;16958;26995;16523;-;624;-;6788;6165;-;624;-;9848;5556;0;0,00;-649;871;2361;-1454;0
2023-01-01;20;17266;26302;15993;-;980;-;7563;6588;-;976;-;9329;4950;0;0,00;-611;873;1396;-2219;0
2023-01-01;21;16691;25559;15993;-;903;-;7564;6785;-;779;-;8663;4291;0;0,00;-427;874;1294;-2321;0
2023-01-01;22;15882;24839;15993;-;865;-;7422;6858;-;564;-;7981;3736;0;0,00;-414;881;1225;-2390;0
2023-01-01;23;14925;24594;15693;-;1085;-;6659;6266;-;393;-;7816;3499;0;0,00;-478;880;1482;-1833;0
2023-01-01;24;13899;24133;15693;-;973;-;6337;6208;-;129;-;7467;3174;0;263,00;-550;883;1563;-1752;0
2023-01-02;1;12968;23939;15403;-;1336;-;6503;6438;-;65;-;7200;2758;0;722,00;-950;877;1017;-1898;0
2023-01-02;2;12654;23675;15329;-;1455;-;6628;6612;-;15;-;6891;2453;0;834,00;-801;726;890;-1951;0
2023-01-02;3;12551;23190;15343;-;1075;-;6764;6764;-;0;-;6772;2321;0;949,00;-806;729;1017;-1963;0
2023-01-02;4;12625;23248;15529;-;923;-;6830;6830;-;0;-;6796;2337;0;948,00;-800;725;1305;-1691;0
2023-01-02;5;13197;23360;15658;-;874;-;7354;7354;-;0;-;6828;2371;0;947,00;50;-121;1329;-1717;0
2023-01-02;6;14776;23891;16059;-;554;-;8303;8303;-;0;-;7278;2814;0;796,00;-549;473;1686;-2365;0
2023-01-02;7;17810;25720;16842;-;877;-;9491;9485;-;7;-;8001;3531;0;53,00;-293;718;1637;-3179;0
