Data;Godzina;Krajowe zapotrzebowanie na moc;Suma zdolnoœci wytwórczych jednostek wytwórczych w KSE;Suma zdolnoœci wytwórczych JGWa;Suma zdolnoœci wytwórczych JGFWa;Suma zdolnoœci wytwórczych JGMa;Suma zdolnoœci wytwórczych JGPVa;Sumaryczna generacja JG aktywnych: JGWa, JGFWa, JGMa i JGPVa;Sumaryczna generacja JGWa;Sumaryczna generacja JGFWa;Sumaryczna generacja JGMa;Sumaryczna generacja JGPVa;Sumaryczna generacja jednostek wytwórczych nieuczestnicz¹cych aktywnie w Rynku Bilansuj¹cym;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych;Sumaryczna moc ³adowania JGMa;Krajowe saldo wymiany miêdzysystemowej równoleg³ej;Krajowe saldo wymiany miêdzysystemowej nierównoleg³ej;Rezerwa mocy ponad zapotrzebowanie;Rezerwa mocy poni¿ej zapotrzebowania;Suma mocy z wykorzystanych Ofert Redukcji Obci¹¿enia JGOa
2023-11-01;1;15014;29421;19220;-;220;-;7601;7601;-;0;-;9981;5982;0;85,00;-3325;776;3722;-1081;0
2023-11-01;2;14909;28940;19227;-;19;-;7663;7663;-;0;-;9694;5709;0;112,00;-3248;776;3541;-1247;0
2023-11-01;3;14761;28145;19307;-;0;-;8154;8154;-;0;-;8838;4858;0;106,00;-3014;856;3233;-1635;0
2023-11-01;4;14413;27855;19307;-;23;-;8023;8023;-;0;-;8525;4489;0;163,00;-2912;957;3413;-1455;0
2023-11-01;5;14449;28050;19307;-;694;-;8716;8716;-;0;-;8049;4012;0;325,00;-3022;957;2631;-2237;0
2023-11-01;6;14461;27976;19312;-;1103;-;8680;8666;-;14;-;7561;3521;0;325,00;-2391;944;2767;-2106;0
2023-11-01;7;14383;27591;20112;-;218;-;8267;8231;-;35;-;7261;3161;61;0,00;-1491;347;3894;-1679;0
2023-11-01;8;14877;28116;20125;-;56;-;8051;8012;-;39;-;7935;2832;981;0,00;-1286;153;4103;-1480;0
2023-11-01;9;15532;29113;20112;-;46;-;7716;7704;-;12;-;8955;2329;2416;63,00;-1104;-7;4386;-1187;0
2023-11-01;10;15749;29313;20112;-;269;-;8109;8109;-;0;-;8932;2005;2839;221,00;-1131;-198;3758;-1815;0
2023-11-01;11;15755;29219;20102;-;165;-;8455;8455;-;0;-;8952;1391;3537;656,00;-346;-798;3513;-2051;0
2023-11-01;12;15563;29134;20095;-;189;-;8591;8591;-;0;-;8850;1032;3792;803,00;-369;-798;3426;-2130;0
2023-11-01;13;15531;28625;19990;-;274;-;8769;8769;-;0;-;8361;735;3523;784,00;-104;-785;3161;-2290;0
2023-11-01;14;15549;28146;19990;-;0;-;8384;8384;-;0;-;8156;587;3429;573,00;279;-611;3705;-1746;0
