Data;Godzina;RCE
20230801;1;477,35
20230801;2;439,34
20230801;3;444,41
20230801;4;441,96
20230801;5;435,35
20230801;6;434,04
20230801;7;480,81
20230801;8;479,56
20230801;9;488,46
20230801;10;552,04
20230801;11;518,18
20230801;12;527,07
20230801;13;532,83
20230801;14;500,04
20230801;15;507,05
20230801;16;524,86
20230801;17;546,83
20230801;18;608,05
20230801;19;654,12
20230801;20;668,60
20230801;21;675,40
20230801;22;642,44
20230801;23;516,12
20230801;24;486,45
20230802;1;457,48
20230802;2;450,06
20230802;3;433,23
20230802;4;435,08
20230802;5;442,47
20230802;6;434,37
20230802;7;463,07
20230802;8;478,15
20230802;9;479,61
20230802;10;406,03
20230802;11;348,72
20230802;12;342,51
20230802;13;344,85
20230802;14;372,31
20230802;15;369,07
20230802;16;413,78
20230802;17;478,71
20230802;18;475,48
20230802;19;560,42
20230802;20;560,87
20230802;21;570,59
20230802;22;526,18
20230802;23;473,55
20230802;24;433,83
20230803;1;296,90
20230803;2;215,75
20230803;3;193,45
20230803;4;185,82
20230803;5;185,81
20230803;6;194,00
20230803;7;354,09
20230803;8;352,63
20230803;9;350,57
20230803;10;281,93
20230803;11;195,31
20230803;12;199,21
20230803;13;205,29
20230803;14;219,02
20230803;15;246,58
20230803;16;280,47
20230803;17;252,80
20230803;18;343,79
20230803;19;403,68
20230803;20;425,52
20230803;21;438,96
20230803;22;440,07
20230803;23;433,58
20230803;24;382,15
20230804;1;403,36
20230804;2;390,07
20230804;3;381,63
20230804;4;395,76
20230804;5;405,98
20230804;6;390,20
20230804;7;456,22
20230804;8;494,91
20230804;9;488,51
20230804;10;465,43
20230804;11;453,51
20230804;12;467,42
20230804;13;467,46
20230804;14;467,32
20230804;15;466,65
20230804;16;447,84
20230804;17;464,17
20230804;18;479,63
20230804;19;644,10
20230804;20;707,28
20230804;21;713,87
20230804;22;705,73
20230804;23;697,13
20230804;24;559,19
20230805;1;474,59
20230805;2;440,99
20230805;3;438,60
20230805;4;447,47
20230805;5;449,13
20230805;6;432,21
20230805;7;434,32
20230805;8;442,89
20230805;9;443,24
20230805;10;434,68
20230805;11;435,15
20230805;12;451,23
20230805;13;476,67
20230805;14;478,01
20230805;15;463,20
20230805;16;474,43
20230805;17;476,89
20230805;18;456,73
20230805;19;485,44
20230805;20;531,73
20230805;21;569,33
