Data;Godzina;RCE
20230601;1;428,86
20230601;2;402,91
20230601;3;402,07
20230601;4;407,69
20230601;5;396,76
20230601;6;392,28
20230601;7;475,69
20230601;8;517,22
20230601;9;487,15
20230601;10;384,01
20230601;11;288,00
20230601;12;253,65
20230601;13;253,00
20230601;14;253,60
20230601;15;260,20
20230601;16;342,68
20230601;17;460,22
20230601;18;478,77
20230601;19;586,42
20230601;20;610,29
20230601;21;629,62
20230601;22;610,01
20230601;23;596,62
20230601;24;501,63
20230602;1;390,99
20230602;2;375,89
20230602;3;376,69
20230602;4;377,61
20230602;5;374,17
20230602;6;397,94
20230602;7;498,13
20230602;8;528,27
20230602;9;466,00
20230602;10;384,56
20230602;11;307,11
20230602;12;262,18
20230602;13;237,38
20230602;14;208,65
20230602;15;209,39
20230602;16;250,18
20230602;17;345,71
20230602;18;374,85
20230602;19;494,45
20230602;20;536,03
20230602;21;560,38
20230602;22;546,04
20230602;23;482,58
20230602;24;420,48
20230603;1;401,05
20230603;2;374,14
20230603;3;373,36
20230603;4;375,88
20230603;5;377,82
20230603;6;381,22
20230603;7;414,17
20230603;8;428,41
20230603;9;380,01
20230603;10;286,05
20230603;11;258,67
20230603;12;199,30
20230603;13;199,99
20230603;14;200,03
20230603;15;199,22
20230603;16;253,89
20230603;17;339,92
20230603;18;452,48
20230603;19;491,20
20230603;20;518,18
20230603;21;522,82
20230603;22;507,40
20230603;23;466,89
20230603;24;403,35
20230604;1;380,14
20230604;2;358,11
20230604;3;355,79
20230604;4;355,92
20230604;5;347,43
20230604;6;342,14
20230604;7;355,43
20230604;8;340,01
20230604;9;226,62
20230604;10;119,04
20230604;11;51,97
20230604;12;25,63
20230604;13;21,09
20230604;14;25,60
20230604;15;26,56
20230604;16;50,07
20230604;17;167,49
20230604;18;386,46
20230604;19;440,24
20230604;20;461,73
20230604;21;501,34
20230604;22;492,81
20230604;23;465,86
20230604;24;459,20
20230605;1;441,98
20230605;2;438,04
20230605;3;432,23
20230605;4;438,09
20230605;5;438,86
20230605;6;448,13
20230605;7;531,46
20230605;8;566,59
20230605;9;517,31
20230605;10;456,53
20230605;11;399,91
20230605;12;370,04
20230605;13;372,79
20230605;14;389,19
20230605;15;401,07
20230605;16;452,31
20230605;17;465,32
20230605;18;526,09
20230605;19;644,44
20230605;20;685,30
20230605;21;689,32
20230605;22;686,90
20230605;23;644,71
20230605;24;547,08
20230606;1;462,07
20230606;2;434,92
20230606;3;430,90
20230606;4;423,04
20230606;5;420,04
20230606;6;443,31
20230606;7;604,89
20230606;8;611,81
20230606;9;556,63
20230606;10;486,54
20230606;11;450,87
20230606;12;450,92
20230606;13;452,34
20230606;14;454,15
20230606;15;459,01
20230606;16;482,79
20230606;17;525,12
20230606;18;588,10
20230606;19;594,46
20230606;20;658,00
20230606;21;684,70
20230606;22;639,94
20230606;23;683,48
20230606;24;558,97
20230607;1;445,00
20230607;2;409,89
20230607;3;405,84
20230607;4;406,70
20230607;5;409,19
20230607;6;429,69
20230607;7;564,01
20230607;8;631,77
20230607;9;617,91
20230607;10;529,05
20230607;11;461,99
20230607;12;425,89
20230607;13;425,88
20230607;14;444,57
20230607;15;468,16
20230607;16;468,02
20230607;17;477,49
20230607;18;526,87
20230607;19;545,54
20230607;20;622,50
20230607;21;663,83
20230607;22;625,03
20230607;23;558,96
20230607;24;486,31
20230608;1;434,45
20230608;2;411,64
20230608;3;420,41
20230608;4;422,36
20230608;5;429,39
20230608;6;442,59
20230608;7;451,77
20230608;8;448,42
20230608;9;429,42
20230608;10;370,41
20230608;11;312,98
20230608;12;267,08
20230608;13;252,10
