Data;Godzina;Krajowe zapotrzebowanie na moc;Suma zdolnoœci wytwórczych jednostek wytwórczych w KSE;Suma zdolnoœci wytwórczych JGWa;Suma zdolnoœci wytwórczych JGFWa;Suma zdolnoœci wytwórczych JGMa;Suma zdolnoœci wytwórczych JGPVa;Sumaryczna generacja JG aktywnych: JGWa, JGFWa, JGMa i JGPVa;Sumaryczna generacja JGWa;Sumaryczna generacja JGFWa;Sumaryczna generacja JGMa;Sumaryczna generacja JGPVa;Sumaryczna generacja jednostek wytwórczych nieuczestnicz¹cych aktywnie w Rynku Bilansuj¹cym;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych;Sumaryczna moc ³adowania JGMa;Krajowe saldo wymiany miêdzysystemowej równoleg³ej;Krajowe saldo wymiany miêdzysystemowej nierównoleg³ej;Rezerwa mocy ponad zapotrzebowanie;Rezerwa mocy poni¿ej zapotrzebowania;Suma mocy z wykorzystanych Ofert Redukcji Obci¹¿enia JGOa
2023-04-01;1;16388;24471;18061;-;0;-;8766;8766;-;0;-;6410;1666;0;297,00;573;940;3674;-1909;0
2023-04-01;2;16237;24653;18061;-;10;-;8948;8948;-;0;-;6582;1841;0;469,00;102;950;3441;-2172;0
2023-04-01;3;15912;24825;18136;-;10;-;8697;8697;-;0;-;6679;2011;0;50,00;-393;950;3714;-1951;0
2023-04-01;4;15751;24757;18179;-;0;-;8884;8884;-;0;-;6578;1986;0;0,00;-690;950;3527;-2148;0
2023-04-01;5;15858;24788;18230;-;66;-;9090;9090;-;0;-;6492;1893;0;0,00;-704;950;3320;-2335;0
2023-04-01;6;15879;25069;18165;-;355;-;9266;9266;-;0;-;6549;1942;0;0,00;-949;950;2959;-2524;0
2023-04-01;7;17136;24810;17438;-;664;-;9937;9923;-;14;-;6708;1994;27;0,00;-423;950;2802;-3081;0
2023-04-01;8;17788;25263;17438;-;640;-;9809;9789;-;21;-;7185;2208;280;0,00;51;950;3107;-2796;0
2023-04-01;9;18603;25742;17438;-;640;-;9487;9307;-;181;-;7664;2303;661;0,00;569;950;3449;-2434;0
2023-04-01;10;19162;26148;17438;-;345;-;8756;8421;-;335;-;8365;2409;1267;0,00;1090;950;4266;-1617;0
2023-04-01;11;19317;26771;17064;-;304;-;7891;7587;-;304;-;9403;2590;2184;6,00;1407;950;5063;-413;0
2023-04-01;12;19620;27261;16815;-;312;-;7599;7287;-;312;-;10134;2780;2785;11,00;1509;886;5285;-113;0
2023-04-01;13;19506;27243;16815;-;319;-;7606;7287;-;319;-;10109;2977;2609;11,00;1900;304;5190;-208;0
2023-04-01;14;19136;27223;16815;-;214;-;7501;7287;-;214;-;10194;3161;2520;11,00;868;850;5054;-344;0
2023-04-01;15;18630;27129;16815;-;181;-;7468;7287;-;181;-;10133;3285;2320;3,00;508;770;5034;-364;0
