Data;Godzina;RCE
20231101;1;250,11
20231101;2;234,69
20231101;3;213,32
20231101;4;224,96
20231101;5;212,77
20231101;6;246,15
20231101;7;322,80
20231101;8;363,41
20231101;9;359,14
20231101;10;293,39
20231101;11;247,25
20231101;12;209,65
20231101;13;210,64
20231101;14;248,04
20231101;15;376,20
20231101;16;396,75
20231101;17;413,57
20231101;18;409,40
20231101;19;405,93
20231101;20;400,84
20231101;21;360,06
20231101;22;368,14
20231101;23;224,73
20231101;24;177,36
20231102;1;205,64
20231102;2;153,98
20231102;3;147,32
20231102;4;148,76
20231102;5;153,80
20231102;6;205,46
20231102;7;400,69
20231102;8;401,92
20231102;9;395,31
20231102;10;327,29
20231102;11;216,18
20231102;12;204,56
20231102;13;182,53
20231102;14;201,74
20231102;15;357,04
20231102;16;403,32
20231102;17;416,57
20231102;18;419,86
20231102;19;406,28
20231102;20;398,45
20231102;21;347,61
20231102;22;308,54
20231102;23;288,70
20231102;24;224,88
20231103;1;181,54
20231103;2;201,85
20231103;3;181,07
20231103;4;181,59
20231103;5;203,13
20231103;6;203,32
20231103;7;399,38
20231103;8;383,00
20231103;9;409,00
20231103;10;403,25
20231103;11;393,27
20231103;12;399,35
20231103;13;400,70
20231103;14;404,09
20231103;15;426,30
20231103;16;466,67
20231103;17;481,48
20231103;18;491,74
20231103;19;477,02
20231103;20;461,97
20231103;21;412,71
20231103;22;364,63
20231103;23;400,00
20231103;24;310,74
20231104;1;166,46
20231104;2;135,35
20231104;3;109,98
20231104;4;109,77
20231104;5;116,82
20231104;6;136,93
20231104;7;166,42
20231104;8;249,40
20231104;9;257,24
20231104;10;240,74
20231104;11;181,42
20231104;12;164,38
20231104;13;186,59
20231104;14;208,06
20231104;15;400,07
20231104;16;401,94
20231104;17;408,00
20231104;18;405,15
20231104;19;400,88
20231104;20;385,40
20231104;21;337,69
20231104;22;221,48
20231104;23;127,64
20231104;24;105,59
20231105;1;88,88
20231105;2;72,36
20231105;3;61,43
20231105;4;61,54
20231105;5;61,19
20231105;6;80,08
20231105;7;91,42
20231105;8;75,80
20231105;9;107,96
20231105;10;143,90
20231105;11;203,64
20231105;12;224,60
20231105;13;278,97
20231105;14;357,22
20231105;15;379,67
20231105;16;375,89
20231105;17;388,42
20231105;18;389,38
20231105;19;384,46
20231105;20;355,09
20231105;21;309,08
20231105;22;207,59
20231105;23;164,58
20231105;24;109,69
20231106;1;91,05
20231106;2;87,07
20231106;3;71,78
20231106;4;66,24
20231106;5;79,78
20231106;6;111,10
20231106;7;287,41
20231106;8;335,54
20231106;9;337,31
20231106;10;257,33
20231106;11;183,94
20231106;12;178,16
20231106;13;179,24
20231106;14;220,73
20231106;15;299,54
20231106;16;375,74
20231106;17;411,49
20231106;18;411,95
20231106;19;415,23
20231106;20;409,12
20231106;21;401,53
