Data;Godzina;RCE
20230901;1;457,43
20230901;2;444,30
20230901;3;425,19
20230901;4;421,01
20230901;5;429,41
20230901;6;457,47
20230901;7;506,25
20230901;8;550,69
20230901;9;550,47
20230901;10;488,01
20230901;11;441,95
20230901;12;428,06
20230901;13;413,55
20230901;14;394,05
20230901;15;399,05
20230901;16;436,91
20230901;17;482,54
20230901;18;574,27
20230901;19;722,89
20230901;20;787,46
20230901;21;801,72
20230901;22;673,12
20230901;23;571,68
20230901;24;507,04
20230902;1;505,43
20230902;2;471,35
20230902;3;463,16
20230902;4;455,13
20230902;5;454,07
20230902;6;468,65
20230902;7;476,28
20230902;8;474,84
20230902;9;475,63
20230902;10;432,73
20230902;11;393,95
20230902;12;347,82
20230902;13;328,46
20230902;14;305,29
20230902;15;304,08
20230902;16;402,61
20230902;17;476,99
20230902;18;533,80
20230902;19;623,21
20230902;20;643,66
20230902;21;627,72
20230902;22;594,54
20230902;23;515,67
20230902;24;466,28
20230903;1;471,73
20230903;2;450,88
20230903;3;439,13
20230903;4;432,45
20230903;5;428,31
20230903;6;427,77
20230903;7;450,44
20230903;8;472,91
20230903;9;454,66
20230903;10;405,16
20230903;11;319,06
20230903;12;251,08
20230903;13;215,74
20230903;14;182,84
20230903;15;163,66
20230903;16;213,34
20230903;17;284,44
20230903;18;449,85
20230903;19;491,95
20230903;20;535,72
20230903;21;575,49
20230903;22;542,37
20230903;23;493,75
20230903;24;464,30
20230904;1;473,91
20230904;2;474,87
20230904;3;475,08
20230904;4;476,07
20230904;5;474,83
20230904;6;469,72
20230904;7;571,75
20230904;8;642,99
20230904;9;606,86
20230904;10;498,85
20230904;11;477,54
20230904;12;474,09
20230904;13;473,06
20230904;14;473,17
20230904;15;475,89
20230904;16;484,44
20230904;17;529,22
20230904;18;685,27
20230904;19;767,42
20230904;20;836,57
20230904;21;832,57
20230904;22;727,65
20230904;23;579,77
20230904;24;483,14
20230905;1;454,37
20230905;2;436,77
20230905;3;438,73
20230905;4;438,71
20230905;5;434,32
20230905;6;457,37
20230905;7;565,25
20230905;8;609,41
20230905;9;576,37
20230905;10;468,08
20230905;11;416,06
20230905;12;385,28
20230905;13;375,80
20230905;14;392,40
20230905;15;393,46
20230905;16;467,53
20230905;17;489,23
20230905;18;650,97
20230905;19;738,95
20230905;20;831,20
20230905;21;791,63
20230905;22;642,43
20230905;23;534,04
20230905;24;463,65
20230906;1;430,75
20230906;2;417,13
20230906;3;423,26
20230906;4;423,55
20230906;5;429,32
20230906;6;466,03
20230906;7;564,18
