Data;Godzina;RCE
20231001;1;437,15
20231001;2;399,70
20231001;3;364,44
20231001;4;364,98
20231001;5;363,25
20231001;6;356,67
20231001;7;361,34
20231001;8;389,10
20231001;9;365,51
20231001;10;326,54
20231001;11;250,07
20231001;12;195,63
20231001;13;174,21
20231001;14;218,25
20231001;15;274,98
20231001;16;347,05
20231001;17;444,12
20231001;18;488,92
20231001;19;582,52
20231001;20;616,05
20231001;21;607,48
20231001;22;528,49
20231001;23;496,51
20231001;24;480,02
20231002;1;458,94
20231002;2;451,00
20231002;3;449,54
20231002;4;450,05
20231002;5;455,21
20231002;6;472,50
20231002;7;584,60
20231002;8;670,38
20231002;9;649,39
20231002;10;582,87
20231002;11;494,96
20231002;12;480,10
20231002;13;481,37
20231002;14;477,33
20231002;15;456,03
20231002;16;474,93
20231002;17;568,25
20231002;18;684,11
20231002;19;805,03
20231002;20;889,98
20231002;21;755,81
20231002;22;596,09
20231002;23;516,08
20231002;24;480,18
20231003;1;463,90
20231003;2;445,09
20231003;3;447,90
20231003;4;434,71
20231003;5;435,30
20231003;6;460,21
20231003;7;486,53
20231003;8;492,99
20231003;9;471,15
20231003;10;322,17
20231003;11;43,26
20231003;12;39,87
20231003;13;19,05
20231003;14;17,93
20231003;15;42,34
20231003;16;42,83
20231003;17;173,62
20231003;18;405,10
20231003;19;467,07
20231003;20;476,95
20231003;21;441,68
20231003;22;84,01
20231003;23;276,56
20231003;24;49,22
20231004;1;26,48
20231004;2;20,72
20231004;3;21,50
20231004;4;20,72
20231004;5;33,36
20231004;6;131,35
20231004;7;370,17
20231004;8;409,58
20231004;9;430,72
20231004;10;389,63
20231004;11;242,22
20231004;12;166,15
20231004;13;77,60
20231004;14;70,95
20231004;15;111,07
20231004;16;214,04
20231004;17;371,63
20231004;18;440,48
20231004;19;494,71
20231004;20;554,05
20231004;21;512,10
20231004;22;437,11
20231004;23;413,61
20231004;24;344,75
20231005;1;321,49
20231005;2;265,08
20231005;3;252,18
20231005;4;255,06
20231005;5;259,20
20231005;6;338,43
20231005;7;433,30
20231005;8;453,12
20231005;9;469,30
20231005;10;449,91
20231005;11;367,45
20231005;12;315,19
20231005;13;292,89
20231005;14;297,31
20231005;15;320,70
20231005;16;360,46
20231005;17;434,16
20231005;18;474,47
20231005;19;493,13
20231005;20;530,03
20231005;21;524,59
20231005;22;477,42
20231005;23;469,26
20231005;24;446,78
20231006;1;448,77
20231006;2;430,03
20231006;3;418,42
20231006;4;414,97
20231006;5;436,81
20231006;6;473,90
20231006;7;522,27
20231006;8;567,89
20231006;9;528,60
20231006;10;487,48
20231006;11;475,60
20231006;12;465,41
20231006;13;418,72
20231006;14;388,49
20231006;15;385,45
20231006;16;402,05
20231006;17;430,00
20231006;18;441,74
20231006;19;475,59
20231006;20;475,72
20231006;21;441,83
20231006;22;389,23
20231006;23;311,82
20231006;24;182,75
20231007;1;-9,23
20231007;2;-3,79
20231007;3;-6,33
20231007;4;-11,35
20231007;5;-3,01
20231007;6;-13,33
20231007;7;1,32
20231007;8;83,79
20231007;9;199,50
20231007;10;195,19
20231007;11;162,44
20231007;12;96,09
20231007;13;60,62
20231007;14;46,16
20231007;15;47,86
20231007;16;138,61
20231007;17;316,14
20231007;18;373,84
20231007;19;455,33
20231007;20;444,25
20231007;21;444,89
20231007;22;380,69
20231007;23;360,14
20231007;24;297,32
20231008;1;374,82
20231008;2;307,03
20231008;3;277,37
20231008;4;252,32
20231008;5;254,13
20231008;6;266,60
20231008;7;291,34
20231008;8;329,31
20231008;9;195,60
20231008;10;113,28
20231008;11;102,61
20231008;12;106,81
20231008;13;53,99
20231008;14;69,04
20231008;15;106,06
20231008;16;181,20
20231008;17;215,62
20231008;18;418,02
20231008;19;407,44
20231008;20;461,20
20231008;21;461,24
20231008;22;453,05
20231008;23;445,27
20231008;24;449,47
20231009;1;451,68
