Data;Godzina;Krajowe zapotrzebowanie na moc;Suma zdolnoœci wytwórczych jednostek wytwórczych w KSE;Suma zdolnoœci wytwórczych JGWa;Suma zdolnoœci wytwórczych JGFWa;Suma zdolnoœci wytwórczych JGMa;Suma zdolnoœci wytwórczych JGPVa;Sumaryczna generacja JG aktywnych: JGWa, JGFWa, JGMa i JGPVa;Sumaryczna generacja JGWa;Sumaryczna generacja JGFWa;Sumaryczna generacja JGMa;Sumaryczna generacja JGPVa;Sumaryczna generacja jednostek wytwórczych nieuczestnicz¹cych aktywnie w Rynku Bilansuj¹cym;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych;Sumaryczna moc ³adowania JGMa;Krajowe saldo wymiany miêdzysystemowej równoleg³ej;Krajowe saldo wymiany miêdzysystemowej nierównoleg³ej;Rezerwa mocy ponad zapotrzebowanie;Rezerwa mocy poni¿ej zapotrzebowania;Suma mocy z wykorzystanych Ofert Redukcji Obci¹¿enia JGOa
2023-06-01;1;15273;25956;21188;-;0;-;8811;8811;-;0;-;4768;1855;0;22,00;812;934;5005;-1575;0
2023-06-01;2;14798;26396;21475;-;0;-;8573;8573;-;0;-;4921;2023;0;43,00;393;875;5194;-1446;0
2023-06-01;3;14718;26490;21502;-;0;-;8954;8954;-;0;-;4988;2087;0;43,00;-76;847;4802;-1796;0
2023-06-01;4;14734;26415;21464;-;0;-;9116;9116;-;0;-;4951;2040;0;22,00;-195;864;4630;-1930;0
2023-06-01;5;14566;26357;21464;-;0;-;9010;9010;-;0;-;4893;1947;11;0,00;-188;866;4772;-1788;0
2023-06-01;6;15090;26515;21449;-;0;-;8559;8559;-;0;-;5066;1933;195;0,00;879;625;5231;-1324;0
2023-06-01;7;17669;27770;21434;-;157;-;9711;9554;-;157;-;6179;1905;1180;0,00;1323;543;4270;-2280;0
2023-06-01;8;19509;29934;21434;-;501;-;10405;10247;-;158;-;7999;1598;3284;0,00;758;306;3448;-3102;0
2023-06-01;9;20233;31206;21419;-;708;-;10621;10548;-;73;-;9079;1192;4869;0,00;-125;675;3189;-3346;0
2023-06-01;10;19905;32611;21409;-;175;-;9378;9378;-;0;-;11027;1375;6726;41,00;-1279;735;4248;-2277;0
2023-06-01;11;19401;33419;20873;-;0;-;8320;8320;-;0;-;12546;1849;7966;316,00;-1859;743;5118;-1555;0
2023-06-01;12;19429;34124;20806;-;0;-;7705;7705;-;0;-;13318;2227;8385;950,00;-966;298;5609;-1007;0
2023-06-01;13;19405;33718;20255;-;0;-;7437;7437;-;0;-;13463;2414;8357;887,00;-716;258;5500;-565;0
2023-06-01;14;19320;33557;20245;-;0;-;7374;7374;-;0;-;13312;2424;8141;696,00;-913;251;5411;-644;0
2023-06-01;15;19156;33320;20250;-;0;-;7378;7378;-;0;-;13070;2429;7832;693,00;-759;288;5533;-527;0
2023-06-01;16;19318;32916;20986;-;0;-;8308;8308;-;0;-;11930;2315;6783;157,00;-1165;262;4235;-1630;0
2023-06-01;17;19319;31609;20986;-;0;-;8729;8729;-;0;-;10623;2483;5269;40,00;-176;519;4500;-1255;0
2023-06-01;18;19548;30799;21462;-;352;-;10248;10248;-;0;-;8985;2395;3628;8,00;-721;925;3368;-3004;0
2023-06-01;19;19826;28114;20608;-;720;-;11034;10742;-;292;-;6786;2001;1656;0,00;694;975;2257;-4032;0
2023-06-01;20;19992;27329;20417;-;1371;-;11814;11124;-;691;-;5541;1844;363;0,00;1673;980;1786;-4224;0
2023-06-01;21;20060;27176;20413;-;1522;-;12117;11521;-;596;-;5241;1810;63;0,00;1543;987;1306;-4616;0
2023-06-01;22;19663;26970;20075;-;1600;-;11802;11487;-;314;-;5295;1989;0;0,00;1547;975;1141;-4568;0
2023-06-01;23;18288;27230;20240;-;1573;-;10770;10734;-;36;-;5417;2165;0;0,00;1159;975;2126;-3737;0
2023-06-01;24;16624;27154;20395;-;1527;-;10217;10217;-;0;-;5232;2176;0;0,00;50;975;2614;-3423;0
2023-06-02;1;15401;25533;20438;-;0;-;8371;8371;-;0;-;5095;2157;0;0,00;1060;974;3922;-1840;0
2023-06-02;2;14810;25375;20438;-;0;-;8235;8235;-;0;-;4937;2034;0;0,00;590;974;3885;-1877;0
2023-06-02;3;14603;25354;20438;-;0;-;8499;8499;-;0;-;4916;1966;0;0,00;192;974;3674;-2088;0
2023-06-02;4;14603;25460;20462;-;0;-;8498;8498;-;0;-;4998;1956;0;171,00;297;974;3713;-2073;0
2023-06-02;5;14661;25386;20468;-;0;-;8537;8537;-;0;-;4918;1847;9;377,00;521;974;3637;-2155;0
2023-06-02;6;15065;25326;20468;-;0;-;8878;8878;-;0;-;4858;1601;203;238,00;637;962;3448;-2344;0
2023-06-02;7;17820;26605;20477;-;689;-;11236;10644;-;592;-;5439;1593;978;0,00;429;572;1491;-4396;0
2023-06-02;8;19643;29076;20413;-;1410;-;12152;11252;-;901;-;7253;1659;2595;0,00;-145;262;796;-4983;0
2023-06-02;9;20181;30521;20408;-;711;-;10258;10185;-;74;-;9402;2126;4291;0,00;-332;807;1934;-3798;0
2023-06-02;10;20152;31215;20403;-;42;-;9278;9278;-;0;-;10770;2603;5201;8,00;-750;774;2793;-2964;0
2023-06-02;11;19905;31203;19848;-;0;-;9022;9022;-;0;-;11355;2560;5870;152,00;-993;639;2867;-2613;0
2023-06-02;12;19935;31792;19956;-;72;-;9181;9181;-;0;-;11764;2703;6164;634,00;-986;596;2716;-2758;0
2023-06-02;13;19817;32413;20090;-;0;-;8705;8705;-;0;-;12323;2935;6509;840,00;-813;396;3180;-2294;0
2023-06-02;14;19717;32670;20334;-;0;-;8027;8027;-;0;-;12336;3145;6300;840,00;-213;437;4114;-1530;0
2023-06-02;15;19306;32801;20355;-;0;-;7768;7768;-;0;-;12446;3439;6148;859,00;-520;544;4416;-1198;0
2023-06-02;16;19187;32740;20350;-;0;-;7447;7447;-;0;-;12390;3577;5933;715,00;-683;674;4601;-1008;0
2023-06-02;17;19684;31461;20316;-;0;-;8846;8846;-;0;-;11145;3470;4747;189,00;-864;701;3250;-2325;0
2023-06-02;18;19500;29748;20287;-;0;-;9537;9537;-;0;-;9461;3339;3158;107,00;-350;974;2641;-2905;0
2023-06-02;19;19118;28204;20325;-;68;-;9776;9776;-;0;-;7811;3240;1517;16,00;666;974;2618;-3111;0
2023-06-02;20;19697;28047;20345;-;1008;-;10989;10451;-;538;-;6694;3125;422;0,00;1091;983;1930;-3819;0
2023-06-02;21;19848;27997;20350;-;1471;-;11181;10485;-;696;-;6176;2952;73;0,00;1512;983;1845;-3909;0
2023-06-02;22;19306;27329;20360;-;1573;-;10947;10351;-;596;-;5396;2256;0;0,00;1947;980;1722;-3954;0
2023-06-02;23;17725;26856;20370;-;1453;-;9577;9265;-;311;-;5033;2003;0;0,00;2122;974;2527;-3057;0
2023-06-02;24;16108;27280;20439;-;1485;-;7966;7756;-;210;-;5356;2394;0;24,00;1898;906;3618;-1774;0
2023-06-03;1;14981;26009;20582;-;210;-;7210;7000;-;210;-;5217;2424;0;54,00;1606;974;3335;-1470;0
2023-06-03;2;14439;25584;20587;-;109;-;6997;6889;-;109;-;4888;2141;0;54,00;1624;974;3469;-1341;0
