Data;Godzina;RCE
20230701;1;554,20
20230701;2;531,60
20230701;3;489,02
20230701;4;495,31
20230701;5;475,46
20230701;6;473,18
20230701;7;481,65
20230701;8;494,09
20230701;9;502,02
20230701;10;549,92
20230701;11;539,47
20230701;12;517,79
20230701;13;492,61
20230701;14;491,91
20230701;15;493,48
20230701;16;493,53
20230701;17;519,07
20230701;18;572,98
20230701;19;622,65
20230701;20;637,03
20230701;21;632,78
20230701;22;595,42
20230701;23;550,83
20230701;24;462,16
20230702;1;412,21
20230702;2;384,22
20230702;3;395,34
20230702;4;388,36
20230702;5;269,79
20230702;6;227,57
20230702;7;225,01
20230702;8;166,35
20230702;9;60,01
20230702;10;22,92
20230702;11;19,98
20230702;12;19,39
20230702;13;16,40
20230702;14;16,43
20230702;15;16,39
20230702;16;16,36
20230702;17;10,77
20230702;18;30,08
20230702;19;197,39
20230702;20;432,88
20230702;21;435,05
20230702;22;423,42
20230702;23;414,33
20230702;24;333,83
20230703;1;310,04
20230703;2;227,87
20230703;3;216,41
20230703;4;211,19
20230703;5;203,22
20230703;6;284,74
20230703;7;446,01
20230703;8;461,97
20230703;9;414,12
20230703;10;217,89
20230703;11;200,02
20230703;12;203,51
20230703;13;197,05
20230703;14;210,11
20230703;15;206,48
20230703;16;254,65
20230703;17;324,90
20230703;18;489,71
20230703;19;695,82
20230703;20;721,26
20230703;21;722,69
20230703;22;721,41
20230703;23;674,72
20230703;24;563,50
20230704;1;510,88
20230704;2;503,39
20230704;3;492,14
20230704;4;501,77
20230704;5;486,44
20230704;6;449,58
20230704;7;513,52
20230704;8;540,62
20230704;9;502,46
20230704;10;308,50
20230704;11;208,32
20230704;12;203,71
20230704;13;203,39
20230704;14;203,75
20230704;15;248,65
20230704;16;241,42
20230704;17;398,94
20230704;18;500,83
20230704;19;731,04
20230704;20;733,01
20230704;21;760,41
20230704;22;760,92
20230704;23;733,80
20230704;24;713,30
20230705;1;594,18
20230705;2;568,91
20230705;3;568,52
20230705;4;557,92
20230705;5;548,38
20230705;6;556,35
20230705;7;632,09
20230705;8;657,22
20230705;9;641,42
20230705;10;558,65
20230705;11;473,95
20230705;12;454,19
20230705;13;447,14
20230705;14;454,15
20230705;15;492,42
20230705;16;498,12
20230705;17;581,35
20230705;18;679,99
20230705;19;720,26
20230705;20;721,17
20230705;21;720,36
20230705;22;709,23
20230705;23;689,77
20230705;24;572,90
20230706;1;510,07
20230706;2;514,39
20230706;3;525,29
20230706;4;525,40
20230706;5;514,88
20230706;6;504,39
20230706;7;642,36
20230706;8;688,94
20230706;9;689,96
20230706;10;665,06
20230706;11;583,69
20230706;12;526,21
20230706;13;515,04
20230706;14;515,06
20230706;15;520,13
20230706;16;561,99
20230706;17;582,06
20230706;18;704,98
20230706;19;672,70
20230706;20;756,69
20230706;21;836,93
20230706;22;829,97
20230706;23;767,06
20230706;24;687,29
20230707;1;551,04
20230707;2;496,00
20230707;3;475,96
20230707;4;469,63
20230707;5;473,00
20230707;6;483,82
20230707;7;637,61
20230707;8;703,33
20230707;9;714,61
20230707;10;649,93
