Data;Godzina;Krajowe zapotrzebowanie na moc;Suma zdolnoœci wytwórczych jednostek wytwórczych w KSE;Suma zdolnoœci wytwórczych JGWa;Suma zdolnoœci wytwórczych JGFWa;Suma zdolnoœci wytwórczych JGMa;Suma zdolnoœci wytwórczych JGPVa;Sumaryczna generacja JG aktywnych: JGWa, JGFWa, JGMa i JGPVa;Sumaryczna generacja JGWa;Sumaryczna generacja JGFWa;Sumaryczna generacja JGMa;Sumaryczna generacja JGPVa;Sumaryczna generacja jednostek wytwórczych nieuczestnicz¹cych aktywnie w Rynku Bilansuj¹cym;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych;Sumaryczna moc ³adowania JGMa;Krajowe saldo wymiany miêdzysystemowej równoleg³ej;Krajowe saldo wymiany miêdzysystemowej nierównoleg³ej;Rezerwa mocy ponad zapotrzebowanie;Rezerwa mocy poni¿ej zapotrzebowania;Suma mocy z wykorzystanych Ofert Redukcji Obci¹¿enia JGOa
2023-07-01;1;15936;24153;19865;-;724;-;10051;10051;-;0;-;3564;848;0;0,00;1444;869;3728;-2633;0
2023-07-01;2;15259;23982;19865;-;559;-;9736;9736;-;0;-;3558;878;0;0,00;1004;969;3972;-2355;0
2023-07-01;3;14771;23442;19865;-;40;-;9210;9210;-;0;-;3537;892;0;0,00;1077;969;4513;-1814;0
2023-07-01;4;14495;23503;19865;-;85;-;9109;9109;-;0;-;3553;904;0;8,00;840;969;4560;-1791;0
2023-07-01;5;14193;23457;19870;-;0;-;8768;8768;-;0;-;3587;920;9;32,00;899;969;4936;-1420;0
2023-07-01;6;14196;23586;19870;-;0;-;8941;8941;-;0;-;3716;843;213;32,00;608;969;4771;-1585;0
2023-07-01;7;15155;24631;20365;-;0;-;9175;9175;-;0;-;4266;734;865;32,00;757;969;5005;-1846;0
2023-07-01;8;16383;25835;20365;-;0;-;9209;9209;-;0;-;5470;450;2274;32,00;781;969;5005;-1846;0
2023-07-01;9;17637;26852;20350;-;256;-;9745;9720;-;25;-;6246;199;3310;0,00;645;962;4426;-2410;0
2023-07-01;10;18204;28267;20340;-;713;-;10137;10091;-;45;-;7214;349;4103;0,00;-137;858;3952;-2874;0
