Data;Godzina;Krajowe zapotrzebowanie na moc;Suma zdolnoœci wytwórczych jednostek wytwórczych w KSE;Suma zdolnoœci wytwórczych JGWa;Suma zdolnoœci wytwórczych JGFWa;Suma zdolnoœci wytwórczych JGMa;Suma zdolnoœci wytwórczych JGPVa;Sumaryczna generacja JG aktywnych: JGWa, JGFWa, JGMa i JGPVa;Sumaryczna generacja JGWa;Sumaryczna generacja JGFWa;Sumaryczna generacja JGMa;Sumaryczna generacja JGPVa;Sumaryczna generacja jednostek wytwórczych nieuczestnicz¹cych aktywnie w Rynku Bilansuj¹cym;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych;Sumaryczna moc ³adowania JGMa;Krajowe saldo wymiany miêdzysystemowej równoleg³ej;Krajowe saldo wymiany miêdzysystemowej nierównoleg³ej;Rezerwa mocy ponad zapotrzebowanie;Rezerwa mocy poni¿ej zapotrzebowania;Suma mocy z wykorzystanych Ofert Redukcji Obci¹¿enia JGOa
2023-05-01;1;13618;23345;18059;-;363;-;8821;8458;-;363;-;4923;924;0;0,00;-1232;980;2296;-2953;0
2023-05-01;2;12764;23622;18600;-;157;-;7356;7199;-;157;-;4865;814;0;0,00;-357;980;3374;-1688;0
2023-05-01;3;12608;23543;18600;-;157;-;7101;6944;-;157;-;4786;729;0;0,00;-287;980;3524;-1480;0
2023-05-01;4;12748;23361;18643;-;0;-;6982;6982;-;0;-;4718;697;0;0,00;64;980;3284;-1615;0
2023-05-01;5;12723;23470;18699;-;0;-;6977;6977;-;0;-;4771;689;0;0,00;14;980;3316;-1588;0
2023-05-01;6;12391;23744;18786;-;48;-;6903;6855;-;48;-;4910;748;44;0,00;-389;980;3434;-1470;0
2023-05-01;7;12996;24520;18833;-;40;-;6916;6877;-;40;-;5647;1005;712;0,00;-535;980;3411;-1493;0
2023-05-01;8;13742;26508;18818;-;21;-;6354;6333;-;21;-;7669;1002;2774;0,00;-1282;933;3665;-1129;0
2023-05-01;9;14461;28355;18698;-;15;-;5904;5888;-;15;-;9642;672;5183;0,00;-1223;855;4983;0;0
2023-05-01;10;14824;30042;18693;-;0;-;5360;5360;-;0;-;11349;283;7393;22,00;-682;-209;5083;0;0
2023-05-01;11;15103;31312;18683;-;2;-;5804;5804;-;0;-;12627;400;8729;935,00;-2470;-180;3275;-1273;0
2023-05-01;12;15026;31479;18678;-;0;-;6329;6329;-;0;-;12801;414;8910;1240,00;-2660;-281;2925;-1618;0
2023-05-01;13;14574;31844;18668;-;0;-;5446;5446;-;0;-;13176;413;9272;1237,00;-2847;60;3899;-694;0
2023-05-01;14;14542;31603;18668;-;0;-;5530;5530;-;0;-;12935;454;8986;1225,00;-2608;-97;3785;-808;0
2023-05-01;15;14418;31081;18570;-;0;-;5632;5632;-;0;-;12511;632;8459;1221,00;-2194;-264;3637;-858;0
2023-05-01;16;14044;30047;18532;-;0;-;5288;5288;-;0;-;11515;807;7274;740,00;-2311;553;4174;-257;0
2023-05-01;17;14229;28473;18663;-;0;-;5833;5833;-;0;-;9810;967;5317;96,00;-2132;794;3714;-780;0
2023-05-01;18;14524;26743;18663;-;10;-;6926;6916;-;10;-;8070;1122;3227;0,00;-1383;980;3557;-988;0
2023-05-01;19;15082;25685;18590;-;613;-;8794;8294;-;501;-;6482;1296;1281;0,00;-1190;980;3018;-2179;0
2023-05-01;20;16048;25814;18567;-;1426;-;10951;9856;-;1095;-;5821;1705;150;0,00;-1805;967;1573;-3775;0
2023-05-01;21;16689;26129;18484;-;1538;-;11481;10289;-;1192;-;6107;2149;0;0,00;-1962;977;1085;-4214;0
2023-05-01;22;16163;26859;18587;-;1564;-;10712;9625;-;1087;-;6708;2821;0;0,00;-2294;980;1497;-3727;0
2023-05-01;23;15081;27886;18592;-;1514;-;8685;8079;-;606;-;7780;3916;0;8,00;-2348;980;3113;-2104;0
2023-05-01;24;13916;27820;18592;-;1071;-;7229;6832;-;397;-;8157;4285;0;35,00;-2444;980;4325;-892;0
2023-05-02;1;12803;26673;18597;-;0;-;6598;6598;-;0;-;8076;4288;0;43,00;-2857;950;4513;-709;0
2023-05-02;2;12740;26165;18459;-;0;-;6762;6762;-;0;-;7706;3967;0;388,00;-2355;950;4505;-717;0
2023-05-02;3;12692;25813;18459;-;0;-;7008;7008;-;0;-;7354;3613;0;388,00;-2053;950;4922;-445;0
2023-05-02;4;12696;25578;18459;-;0;-;7044;7044;-;0;-;7119;3392;0;436,00;-1693;950;5155;-358;0
2023-05-02;5;12442;25453;18459;-;0;-;7044;7044;-;0;-;6994;3267;0;775,00;-1284;950;5353;-160;0
2023-05-02;6;12519;25644;18459;-;0;-;7044;7044;-;0;-;7185;3370;42;547,00;-1893;950;5086;-427;0
2023-05-02;7;14027;26095;18464;-;24;-;7325;7301;-;24;-;7607;3265;541;8,00;-1827;950;4633;-885;0
2023-05-02;8;15229;27049;18454;-;168;-;8225;8056;-;168;-;8427;2847;1770;0,00;-2022;670;3919;-1589;0
2023-05-02;9;16554;28605;18434;-;1412;-;10431;9467;-;964;-;8759;1647;3297;0,00;-2657;-157;2240;-3248;0
2023-05-02;10;16944;29001;18419;-;553;-;8580;8061;-;519;-;10029;1247;5003;117,00;-2310;798;3845;-1628;0
2023-05-02;11;16656;29397;18415;-;0;-;7838;7838;-;0;-;10982;1825;5431;453,00;-2458;678;3948;-1510;0
2023-05-02;12;16527;29908;18549;-;0;-;7306;7306;-;0;-;11359;1957;5681;911,00;-2142;814;4448;-1010;0
2023-05-02;13;16529;29965;18656;-;0;-;7059;7059;-;0;-;11309;2068;5546;1218,00;-1350;745;4822;-646;0
2023-05-02;14;16533;29926;18651;-;0;-;7044;7044;-;0;-;11275;2649;4909;1233,00;-1303;950;5016;-447;0
2023-05-02;15;16552;29582;18563;-;0;-;7117;7117;-;0;-;11019;3162;4140;1219,00;-1074;943;5031;-432;0
2023-05-02;16;16718;28963;18651;-;0;-;7144;7144;-;0;-;10312;3086;3506;818,00;-522;950;5165;-298;0
2023-05-02;17;17036;27563;18309;-;5;-;7338;7333;-;5;-;9249;2745;2779;162,00;-242;950;4775;-654;0
2023-05-02;18;16911;26336;18309;-;419;-;8493;8074;-;419;-;7608;2205;1653;0,00;-87;950;3989;-1440;0
2023-05-02;19;16779;25907;18314;-;747;-;9066;8319;-;747;-;6846;2156;791;0,00;13;950;3900;-1514;0
2023-05-02;20;16853;25538;18416;-;1075;-;10310;9396;-;914;-;6047;1978;143;0,00;-342;950;3213;-2473;0
2023-05-02;21;17547;25584;18421;-;1549;-;11591;10439;-;1152;-;5614;1701;0;0,00;-710;950;1961;-3765;0
2023-05-02;22;17273;25166;18414;-;1489;-;12158;11073;-;1085;-;5263;1359;0;0,00;-1367;950;1153;-4565;0
2023-05-02;23;15993;24999;18411;-;1550;-;10600;9895;-;706;-;5038;1263;0;8,00;-570;950;2049;-3420;0
2023-05-02;24;14737;24687;18441;-;1338;-;9679;9556;-;123;-;4908;1176;0;32,00;-740;950;2333;-3121;0
2023-05-03;1;13534;22764;17885;-;0;-;8815;8815;-;0;-;4879;1214;0;32,00;-1088;950;2023;-2952;0
2023-05-03;2;13007;22788;17885;-;0;-;8178;8178;-;0;-;4903;1237;0;38,00;-950;950;2706;-2269;0
2023-05-03;3;12774;22759;17890;-;0;-;7912;7912;-;0;-;4869;1187;0;43,00;-950;950;2906;-2074;0
2023-05-03;4;12766;22684;17890;-;0;-;7997;7997;-;0;-;4794;1121;0;43,00;-950;950;2838;-2142;0
2023-05-03;5;12769;22640;17890;-;0;-;8074;8074;-;0;-;4750;1077;0;43,00;-950;950;2791;-2189;0
2023-05-03;6;12505;22667;17890;-;0;-;8173;8173;-;0;-;4777;1065;32;38,00;-1328;950;2709;-2271;0
2023-05-03;7;12742;23184;17890;-;106;-;9261;9183;-;78;-;5188;997;447;0,00;-2554;917;1740;-3240;0
2023-05-03;8;13643;25310;17878;-;1385;-;10395;9825;-;571;-;6047;723;1541;0,00;-3544;639;918;-4057;0
2023-05-03;9;14575;26431;17870;-;1376;-;9655;9200;-;456;-;7185;467;3033;0,00;-3092;745;1562;-3408;0
2023-05-03;10;14988;27467;17865;-;616;-;8014;7888;-;126;-;8986;372;4958;50,00;-2690;664;2886;-2079;0
2023-05-03;11;15070;28512;17855;-;0;-;6743;6743;-;0;-;10657;712;6351;1080,00;-2163;898;4070;-885;0
2023-05-03;12;15267;28513;17855;-;169;-;6886;6886;-;0;-;10489;907;6035;1245,00;-2006;789;3589;-1487;0
2023-05-03;13;15189;28215;17855;-;0;-;6571;6571;-;0;-;10360;936;5877;1234,00;-1183;644;4226;-919;0
2023-05-03;14;15070;27887;17845;-;0;-;6652;6652;-;0;-;10042;919;5652;1127,00;-976;459;4146;-989;0
2023-05-03;15;15195;27390;17840;-;0;-;6784;6784;-;0;-;9550;798;5270;1150,00;-657;648;4010;-1120;0
2023-05-03;16;14883;26505;17840;-;0;-;6923;6923;-;0;-;8665;701;4364;652,00;-864;864;3981;-1068;0
2023-05-03;17;14892;25563;17840;-;0;-;7219;7219;-;0;-;7723;627;3477;381,00;-388;823;3913;-928;0
2023-05-03;18;14801;24708;17840;-;0;-;7324;7324;-;0;-;6868;517;2632;98,00;51;839;4287;-519;0
2023-05-03;19;15326;24156;17860;-;799;-;9549;9474;-;74;-;5497;395;1259;16,00;-688;950;2901;-2352;0
2023-05-03;20;16179;23936;17926;-;1525;-;12258;11060;-;1198;-;4485;388;223;0,00;-1542;950;2036;-3817;0
2023-05-03;21;16933;23850;18016;-;1568;-;13065;11580;-;1485;-;4266;390;0;0,00;-1400;950;1487;-4348;0
2023-05-03;22;16498;23848;18098;-;1583;-;11878;10871;-;1008;-;4167;361;0;0,00;-514;950;2237;-3640;0
2023-05-03;23;15654;24027;18229;-;1584;-;10494;10081;-;413;-;4214;448;0;0,00;40;950;2664;-3106;0
2023-05-03;24;14581;23886;18155;-;1535;-;9315;9315;-;0;-;4196;425;0;0,00;257;950;3183;-2386;0
2023-05-04;1;13534;22132;18031;-;0;-;9172;9172;-;0;-;4101;376;0;0,00;-650;950;3186;-2376;0
2023-05-04;2;13073;22396;18319;-;0;-;8739;8739;-;0;-;4077;364;0;0,00;-646;946;3694;-1938;0
