Data;Godzina;Krajowe zapotrzebowanie na moc;Suma zdolnoœci wytwórczych jednostek wytwórczych w KSE;Suma zdolnoœci wytwórczych JGWa;Suma zdolnoœci wytwórczych JGFWa;Suma zdolnoœci wytwórczych JGMa;Suma zdolnoœci wytwórczych JGPVa;Sumaryczna generacja JG aktywnych: JGWa, JGFWa, JGMa i JGPVa;Sumaryczna generacja JGWa;Sumaryczna generacja JGFWa;Sumaryczna generacja JGMa;Sumaryczna generacja JGPVa;Sumaryczna generacja jednostek wytwórczych nieuczestnicz¹cych aktywnie w Rynku Bilansuj¹cym;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych;Sumaryczna moc ³adowania JGMa;Krajowe saldo wymiany miêdzysystemowej równoleg³ej;Krajowe saldo wymiany miêdzysystemowej nierównoleg³ej;Rezerwa mocy ponad zapotrzebowanie;Rezerwa mocy poni¿ej zapotrzebowania;Suma mocy z wykorzystanych Ofert Redukcji Obci¹¿enia JGOa
2023-03-01;1;18428;26657;19945;-;5;-;11716;11712;-;5;-;6707;1456;0;278,00;-714;950;5308;-2435;0
2023-03-01;2;18190;26667;19945;-;0;-;11663;11663;-;0;-;6722;1463;0;325,00;-827;950;5396;-2346;0
2023-03-01;3;18003;26661;19945;-;0;-;11474;11474;-;0;-;6716;1458;0;357,00;-776;950;5595;-2147;0
2023-03-01;4;18107;26536;19855;-;0;-;11486;11486;-;0;-;6681;1413;0;357,00;-650;950;5494;-1792;0
2023-03-01;5;18598;26502;19855;-;0;-;11677;11677;-;0;-;6647;1356;0;357,00;-381;950;5237;-2049;0
2023-03-01;6;19676;26660;20035;-;5;-;12413;12408;-;5;-;6620;1322;0;341,00;88;950;4803;-2483;0
2023-03-01;7;22307;27645;20535;-;528;-;15385;15268;-;116;-;6582;1121;115;34,00;-642;950;2321;-5465;0
2023-03-01;8;23840;29198;20725;-;719;-;15805;15695;-;110;-;7754;952;1354;0,00;-148;430;2152;-5824;0
2023-03-01;9;24472;30225;20546;-;390;-;15256;15151;-;105;-;9289;733;3135;0,00;-738;650;2704;-5296;0
2023-03-01;10;24060;31047;20592;-;20;-;13287;13267;-;20;-;10435;385;4809;0,00;-587;950;4674;-3272;0
2023-03-01;11;23073;32060;20604;-;0;-;11456;11456;-;0;-;11456;251;5944;32,00;-786;950;6444;-1614;0
2023-03-01;12;22910;32393;20599;-;0;-;11241;11241;-;0;-;11794;206;6323;43,00;-1139;950;6575;-1488;0
2023-03-01;13;22846;32232;20599;-;0;-;10874;10874;-;0;-;11633;213;6174;43,00;-623;950;6993;-1050;0
2023-03-01;14;22721;31727;20599;-;0;-;10963;10963;-;0;-;11128;206;5676;11,00;-285;950;6984;-1069;0
2023-03-01;15;22469;30597;20599;-;0;-;11387;11387;-;0;-;9998;157;4588;3,00;140;948;6537;-1506;0
2023-03-01;16;22437;29358;20849;-;0;-;12702;12702;-;0;-;8509;152;3019;0,00;293;950;5284;-2798;0
2023-03-01;17;22995;27878;20642;-;419;-;14785;14744;-;41;-;6817;178;1216;0,00;344;950;2920;-5236;0
2023-03-01;18;24267;27720;20433;-;1494;-;16711;16131;-;580;-;5793;200;72;0,00;731;950;1341;-6751;0
