Data;Godzina;Krajowe zapotrzebowanie na moc;Suma zdolnoœci wytwórczych jednostek wytwórczych w KSE;Suma zdolnoœci wytwórczych JGWa;Suma zdolnoœci wytwórczych JGFWa;Suma zdolnoœci wytwórczych JGMa;Suma zdolnoœci wytwórczych JGPVa;Sumaryczna generacja JG aktywnych: JGWa, JGFWa, JGMa i JGPVa;Sumaryczna generacja JGWa;Sumaryczna generacja JGFWa;Sumaryczna generacja JGMa;Sumaryczna generacja JGPVa;Sumaryczna generacja jednostek wytwórczych nieuczestnicz¹cych aktywnie w Rynku Bilansuj¹cym;Generacja Ÿróde³ wiatrowych;Generacja Ÿróde³ fotowoltaicznych;Sumaryczna moc ³adowania JGMa;Krajowe saldo wymiany miêdzysystemowej równoleg³ej;Krajowe saldo wymiany miêdzysystemowej nierównoleg³ej;Rezerwa mocy ponad zapotrzebowanie;Rezerwa mocy poni¿ej zapotrzebowania;Suma mocy z wykorzystanych Ofert Redukcji Obci¹¿enia JGOa
2023-09-01;1;15668;23833;17748;-;34;-;9057;9057;-;0;-;6051;3423;0;95,00;-296;866;3614;-1902;0
2023-09-01;2;15123;24053;17748;-;0;-;8762;8762;-;0;-;6305;3695;0;64,00;-640;709;3898;-1551;0
2023-09-01;3;14752;24192;17748;-;0;-;8443;8443;-;0;-;6444;3813;0;95,00;-708;709;4723;-1004;0
2023-09-01;4;14833;24111;17748;-;0;-;8411;8411;-;0;-;6363;3729;0;95,00;-596;659;4516;-1211;0
2023-09-01;5;15202;24054;17748;-;0;-;8879;8879;-;0;-;6306;3646;0;79,00;-534;577;4086;-1641;0
2023-09-01;6;15774;24153;17748;-;40;-;9383;9374;-;10;-;6365;3679;0;32,00;-518;577;3646;-2081;0
2023-09-01;7;18093;26602;19078;-;871;-;11786;11092;-;694;-;6653;3633;301;0,00;-718;364;3247;-3810;0
2023-09-01;8;19599;27988;18473;-;1233;-;12100;11586;-;514;-;8282;3386;2134;0,00;-889;132;2815;-4236;0
2023-09-01;9;20483;29747;18461;-;1278;-;12090;11594;-;496;-;10008;3247;3984;0,00;-1461;-129;2793;-4242;0
2023-09-01;10;20525;30623;17593;-;1099;-;11054;10812;-;242;-;11931;3265;5905;0,00;-2775;169;2691;-3631;0
2023-09-01;11;19943;31179;17638;-;48;-;8600;8552;-;48;-;13493;3534;7222;126,00;-1951;-36;5178;-1189;0
2023-09-01;12;20186;31884;17638;-;0;-;8648;8648;-;0;-;14246;4022;7500;707,00;-1957;-32;5058;-1296;0
2023-09-01;13;20083;32261;17633;-;0;-;8045;8045;-;0;-;14628;4411;7485;783,00;-1893;177;5737;-600;0
2023-09-01;14;20127;31551;17798;-;0;-;8729;8729;-;0;-;13753;4295;6679;913,00;-1836;248;4839;-1498;0
2023-09-01;15;19942;31468;18419;-;0;-;8386;8386;-;0;-;13049;3942;6334;754,00;-931;300;5536;-801;0
2023-09-01;16;19742;30364;18419;-;0;-;8441;8441;-;0;-;11945;3704;5405;504,00;-490;410;5609;-734;0
2023-09-01;17;19951;29019;18999;-;0;-;9625;9625;-;0;-;10020;3294;3863;0,00;37;223;5268;-1919;0
2023-09-01;18;19854;27013;18999;-;330;-;11207;11207;-;0;-;7684;2533;2254;0,00;586;263;3986;-3286;0
2023-09-01;19;20108;25782;19064;-;1000;-;12753;12683;-;70;-;5718;2002;731;0,00;1292;401;3120;-4242;0
2023-09-01;20;20848;25445;19084;-;1444;-;14679;13741;-;938;-;4917;1845;19;0,00;227;914;2577;-5256;0
2023-09-01;21;21156;25352;19099;-;1458;-;14258;13287;-;971;-;4795;1758;0;0,00;1316;809;2670;-4971;0
2023-09-01;22;19466;25872;19131;-;1493;-;11545;11492;-;53;-;5248;2291;0;0,00;2020;711;4136;-3485;0
2023-09-01;23;17798;26173;19256;-;1493;-;10250;10250;-;0;-;5424;2526;0;0,00;1108;1005;5174;-2452;0
2023-09-01;24;16319;26307;19397;-;1493;-;10277;10277;-;0;-;5417;2578;0;0,00;-437;1005;4786;-2763;0
2023-09-02;1;15735;22563;17705;-;96;-;9724;9724;-;0;-;4762;2206;0;0,00;134;1005;2578;-2919;0
2023-09-02;2;14942;22520;17818;-;68;-;9592;9592;-;0;-;4634;2102;0;0,00;-267;1005;2860;-2637;0
2023-09-02;3;14603;22337;17818;-;0;-;9630;9630;-;0;-;4519;1961;0;0,00;-556;1005;2828;-2669;0
2023-09-02;4;14581;22319;17818;-;222;-;9939;9939;-;0;-;4279;1755;0;0,00;-644;1005;2580;-2917;0
2023-09-02;5;14603;22485;17818;-;475;-;10070;10016;-;54;-;4192;1629;0;0,00;-656;1005;2402;-3095;0
2023-09-02;6;14320;22582;17813;-;591;-;10067;9901;-;165;-;4178;1573;0;0,00;-950;1005;2483;-3009;0
2023-09-02;7;15111;23724;18993;-;453;-;10639;10297;-;342;-;4278;1492;188;0,00;-821;1005;2898;-3594;0
2023-09-02;8;16309;24889;18809;-;474;-;10428;10099;-;329;-;5606;1512;1529;0,00;-411;705;2940;-3368;0
2023-09-02;9;17686;26488;18743;-;439;-;10242;9932;-;309;-;7306;1083;3598;0,00;-27;163;3020;-3222;0
2023-09-02;10;18479;27690;18743;-;264;-;10037;9948;-;88;-;8683;861;5250;52,00;-400;163;2959;-3183;0
2023-09-02;11;18210;28093;17821;-;65;-;9124;9124;-;0;-;10207;1067;6640;278,00;-1082;178;3414;-2273;0
2023-09-02;12;17933;28612;17821;-;0;-;8266;8266;-;0;-;10791;1101;7295;335,00;-1084;163;4202;-1484;0
2023-09-02;13;17631;28762;17816;-;0;-;7618;7618;-;0;-;10946;1115;7302;467,00;-704;163;4901;-780;0
2023-09-02;14;17895;28578;17921;-;0;-;7878;7878;-;0;-;10657;1135;6933;567,00;-345;163;4713;-1074;0
2023-09-02;15;17428;28029;18120;-;0;-;7990;7990;-;0;-;9909;1143;6154;516,00;-434;163;4499;-1542;0
2023-09-02;16;17206;27410;18203;-;0;-;8379;8379;-;0;-;9207;985;5606;355,00;-418;472;4505;-1586;0
2023-09-02;17;17132;26270;18596;-;0;-;9598;9598;-;0;-;7674;807;4270;118,00;-646;476;3412;-2979;0
2023-09-02;18;17521;24461;18646;-;260;-;11170;11019;-;151;-;5555;597;2293;0,00;491;174;2100;-4291;0
2023-09-02;19;17560;24078;19258;-;805;-;12059;11504;-;556;-;4015;484;712;0,00;1209;219;1766;-4671;0
2023-09-02;20;18442;24031;19304;-;1440;-;13264;12354;-;910;-;3287;419;18;0,00;1545;345;1082;-5373;0
2023-09-02;21;18568;24025;19270;-;1480;-;13580;12651;-;929;-;3275;433;0;0,00;1457;238;815;-5674;0
2023-09-02;22;17399;23973;19323;-;1321;-;12401;11648;-;753;-;3329;508;0;0,00;1529;261;2009;-4533;0
2023-09-02;23;15837;23704;19333;-;1120;-;11537;11190;-;347;-;3251;509;0;0,00;887;257;2447;-4100;0
